pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-17 00:05:27+00:00,Biden’s Policies Offer a Starting Point for Trump’s Border Crackdown,Mr. Trump has criticized the Biden administration for what he calls its lax handling of the border — but it has left him with tools he can use to shut down the border.,"President-elect Donald Trump has spent the last year railing against the Biden administration’s immigration policies, saying they left the border wide open and risked American security.",Mr. Trump has criticized the Biden administration for what he calls its lax handling of the border — but it has left him with tools he can use to shut down the border.,Washington,2024-11-17
2024-11-17 00:15:47+00:00,"Man Hiding Tarantulas, Centipedes and Ants Is Stopped From Boarding Flight","Officials in Lima, Peru, said the endangered spiders had been taken from the Amazon basin. The man was flying to South Korea.","Something about a man who was trying to board a plane last week in Lima, Peru, caused customs officers at the international airport outside the capital to do a double take: He had an extraordinarily swollen belly.","Officials in Lima, Peru, said the endangered spiders had been taken from the Amazon basin. The man was flying to South Korea.",National,2024-11-17
2024-11-17 00:41:32+00:00,"Shel Talmy, Who Produced the Who and the Kinks, Dies at 87","Though he was American, he helped define the sound of the British Invasion after settling in London in the early 1960s.","Shel Talmy, a Chicago-born record producer who helped unleash the id of the British Invasion with a raw, grinding sound on proto-punk salvos like “You Really Got Me” by the Kinks and “My Generation” by the Who, died on Wednesday at his home in Los Angeles. He was 87.","Though he was American, he helped define the sound of the British Invasion after settling in London in the early 1960s.",Obits,2024-11-17
2024-11-17 02:24:13+00:00,Trump’s Pick for Pentagon Paid an Accuser but Denies It Was Sexual Assault,"The Trump transition team was only recently alerted to the payment by Pete Hegseth, President-elect Donald J. Trump’s choice for secretary of defense.","President-elect Donald J. Trump’s choice to lead the Department of Defense, Pete Hegseth, paid a woman who had accused him of sexual assault as part of a settlement agreement with a confidentiality clause, but Mr. Hegseth insists it was a consensual encounter, his lawyer said on Saturday.","The Trump transition team was only recently alerted to the payment by Pete Hegseth, President-elect Donald J. Trump’s choice for secretary of defense.",Washington,2024-11-17
2024-11-17 02:30:02+00:00,"Corrections: Nov. 17, 2024","Corrections that appeared in print on Sunday, Nov. 17, 2024.",An article this weekend on Page 1 about Korean Americans’ reaction to Andy Kim’s Senate victory in New Jersey referred incorrectly to Min Choi’s birth. She was born in Korea and moved to New Jersey when she was 1. She was not born in New Jersey.,"Corrections that appeared in print on Sunday, Nov. 17, 2024.",Corrections,2024-11-17
2024-11-17 05:01:26+00:00,‘No Use for Hatred’: A Village Seeks to Move On From a U.S. Massacre,"The hamlet of My Lai is infamous for American war crimes, but now it holds lessons in resilience and how to let go of anger.","The strawberry ice cream for sale by the ticket booth seemed out of place at the museum to the My Lai massacre, one of America’s most ghastly crimes of war. The parking lot held a single car. Only a wide sign near the entrance explained the significance of the location.","The hamlet of My Lai is infamous for American war crimes, but now it holds lessons in resilience and how to let go of anger.",Foreign,2024-11-17
2024-11-17 05:01:28+00:00,"Quote of the Day: Blaring Dreadful Noise Across Border, North Korea Adds Insomnia to Its Arsenal","Quotation of the Day for Sunday, November 17, 2024.",“I wish they would just broadcast their old insults and propaganda songs. At least they were human sounds and we could bear them.”,"Quotation of the Day for Sunday, November 17, 2024.",Summary,2024-11-17
2024-11-17 05:01:30+00:00,They Cared for New Life. Then Death Came to Their Clinic.,It was one horrific day of the war in Ukraine when a missile fell on the Adonis clinic in Kyiv.,"The missile wreckage fell from the sky on a Monday afternoon, a clumsy dagger that buried itself in the top floor of the Adonis clinic in central Kyiv. It caused an explosion that sent up a large plume of black smoke, blew out the windows in the back, ripped holes through the walls like tissue and arbitrarily spared items like a piggy bank and a carton of cream.",It was one horrific day of the war in Ukraine when a missile fell on the Adonis clinic in Kyiv.,Foreign,2024-11-17
2024-11-17 06:00:09+00:00,Enough,"To suggest we should yield even a little to Trump’s odious politics is unacceptable. Even if we did, it would never be enough.","For the past decade, as Donald Trump has risen in political stature, I have waited for that precarious but inevitable moment when his well-documented liabilities would end his political ascendancy, when it would all finally be too much. I waited through scandalous allegations about affairs and payoffs, and misogynistic and violent talk about grabbing women. There were the sexual abuse allegations for which he was found liable in one instance, dozens of felony convictions and even more outstanding indictments, flagrantly racist statements and unrepentant xenophobia.","To suggest we should yield even a little to Trump’s odious politics is unacceptable. Even if we did, it would never be enough.",OpEd,2024-11-17
2024-11-17 06:00:18+00:00,Trump Can Speed Up the Inevitable in Ukraine,He should force a settlement to save lives and avoid more destruction.,Update: This article was updated to reflect that the United States has lifted restrictions on Ukraine’s use of American weapons to hit targets deep in Russia.,He should force a settlement to save lives and avoid more destruction.,OpEd,2024-11-17
